[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
12,100,10,0,50,100,100,0,19
7,100,10,0,50,100,100,0,24
4,100,10,0,50,100,100,0,19
1,100,10,0,50,100,100,0,22
10,100,10,0,50,100,100,0,19
3,100,10,0,50,100,100,0,21
8,100,10,0,50,100,100,0,27
13,100,10,0,50,100,100,0,27
2,100,10,0,50,100,100,0,26
15,100,10,0,50,100,100,0,33
11,100,10,0,50,100,100,0,27
9,100,10,0,50,100,100,0,23
5,100,10,0,50,100,100,0,26
16,100,10,0,50,100,100,0,20
14,100,10,0,50,100,100,0,25
6,100,10,0,50,100,100,0,23
17,100,10,0,50,100,100,0,27
19,100,10,0,50,100,100,0,21
22,100,10,0,50,100,100,0,20
18,100,10,0,50,100,100,0,32
20,100,10,0,50,100,100,0,25
23,100,10,0,50,100,100,0,24
26,100,10,0,50,100,100,0,26
24,100,10,0,50,100,100,0,26
34,100,10,0,50,100,100,0,17
21,100,10,0,50,100,100,0,24
25,100,10,0,50,100,100,0,31
36,100,10,0,50,100,100,0,24
27,100,10,0,50,100,100,0,29
30,100,10,0,50,100,100,0,19
38,100,10,0,50,100,100,0,19
33,100,10,0,50,100,100,0,26
37,100,10,0,50,100,100,0,25
35,100,10,0,50,100,100,0,28
31,100,10,0,50,100,100,0,17
32,100,10,0,50,100,100,0,18
28,100,10,0,50,100,100,0,26
40,100,10,0,50,100,100,0,22
39,100,10,0,50,100,100,0,23
41,100,10,0,50,100,100,0,23
43,100,10,0,50,100,100,0,23
48,100,10,0,50,100,100,0,19
47,100,10,0,50,100,100,0,20
42,100,10,0,50,100,100,0,30
49,100,10,0,50,100,100,0,24
29,100,10,0,50,100,100,0,37
44,100,10,0,50,100,100,0,26
50,100,10,0,50,100,100,0,29
54,100,10,0,50,100,100,0,20
45,100,10,0,50,100,100,0,25
51,100,10,0,50,100,100,0,24
53,100,10,0,50,100,100,0,21
46,100,10,0,50,100,100,0,17
55,100,10,0,50,100,100,0,26
52,100,10,0,50,100,100,0,22
56,100,10,0,50,100,100,0,21
58,100,10,0,50,100,100,0,18
60,100,10,0,50,100,100,0,19
57,100,10,0,50,100,100,0,34
61,100,10,0,50,100,100,0,30
59,100,10,0,50,100,100,0,26
62,100,10,0,50,100,100,0,21
63,100,10,0,50,100,100,0,29
70,100,10,0,50,100,100,0,19
68,100,10,0,50,100,100,0,24
67,100,10,0,50,100,100,0,20
65,100,10,0,50,100,100,0,19
69,100,10,0,50,100,100,0,20
73,100,10,0,50,100,100,0,22
72,100,10,0,50,100,100,0,21
66,100,10,0,50,100,100,0,27
64,100,10,0,50,100,100,0,35
76,100,10,0,50,100,100,0,23
75,100,10,0,50,100,100,0,18
79,100,10,0,50,100,100,0,17
77,100,10,0,50,100,100,0,19
71,100,10,0,50,100,100,0,31
74,100,10,0,50,100,100,0,28
85,100,10,0,50,100,100,0,24
78,100,10,0,50,100,100,0,19
83,100,10,0,50,100,100,0,21
89,100,10,0,50,100,100,0,19
80,100,10,0,50,100,100,0,25
86,100,10,0,50,100,100,0,24
88,100,10,0,50,100,100,0,26
81,100,10,0,50,100,100,0,25
95,100,10,0,50,100,100,0,18
90,100,10,0,50,100,100,0,30
91,100,10,0,50,100,100,0,24
82,100,10,0,50,100,100,0,31
92,100,10,0,50,100,100,0,29
98,100,10,0,50,100,100,0,22
87,100,10,0,50,100,100,0,24
94,100,10,0,50,100,100,0,19
97,100,10,0,50,100,100,0,23
100,100,10,0,50,100,100,0,19
99,100,10,0,50,100,100,0,28
96,100,10,0,50,100,100,0,20
101,100,10,0,50,100,100,0.1,20
84,100,10,0,50,100,100,0,24
108,100,10,0,50,100,100,0.1,18
103,100,10,0,50,100,100,0.1,23
93,100,10,0,50,100,100,0,29
104,100,10,0,50,100,100,0.1,27
105,100,10,0,50,100,100,0.1,24
102,100,10,0,50,100,100,0.1,23
111,100,10,0,50,100,100,0.1,26
107,100,10,0,50,100,100,0.1,29
113,100,10,0,50,100,100,0.1,29
106,100,10,0,50,100,100,0.1,22
115,100,10,0,50,100,100,0.1,25
112,100,10,0,50,100,100,0.1,34
117,100,10,0,50,100,100,0.1,21
118,100,10,0,50,100,100,0.1,21
120,100,10,0,50,100,100,0.1,22
109,100,10,0,50,100,100,0.1,20
121,100,10,0,50,100,100,0.1,23
127,100,10,0,50,100,100,0.1,24
110,100,10,0,50,100,100,0.1,27
124,100,10,0,50,100,100,0.1,17
129,100,10,0,50,100,100,0.1,27
125,100,10,0,50,100,100,0.1,30
123,100,10,0,50,100,100,0.1,24
131,100,10,0,50,100,100,0.1,22
128,100,10,0,50,100,100,0.1,21
114,100,10,0,50,100,100,0.1,26
116,100,10,0,50,100,100,0.1,21
130,100,10,0,50,100,100,0.1,23
133,100,10,0,50,100,100,0.1,28
119,100,10,0,50,100,100,0.1,26
132,100,10,0,50,100,100,0.1,19
122,100,10,0,50,100,100,0.1,19
134,100,10,0,50,100,100,0.1,28
126,100,10,0,50,100,100,0.1,22
138,100,10,0,50,100,100,0.1,17
137,100,10,0,50,100,100,0.1,27
139,100,10,0,50,100,100,0.1,23
136,100,10,0,50,100,100,0.1,25
144,100,10,0,50,100,100,0.1,17
140,100,10,0,50,100,100,0.1,25
141,100,10,0,50,100,100,0.1,24
145,100,10,0,50,100,100,0.1,20
152,100,10,0,50,100,100,0.1,20
135,100,10,0,50,100,100,0.1,29
142,100,10,0,50,100,100,0.1,22
151,100,10,0,50,100,100,0.1,24
153,100,10,0,50,100,100,0.1,21
149,100,10,0,50,100,100,0.1,21
157,100,10,0,50,100,100,0.1,23
155,100,10,0,50,100,100,0.1,27
154,100,10,0,50,100,100,0.1,24
148,100,10,0,50,100,100,0.1,20
156,100,10,0,50,100,100,0.1,29
158,100,10,0,50,100,100,0.1,21
147,100,10,0,50,100,100,0.1,27
146,100,10,0,50,100,100,0.1,34
159,100,10,0,50,100,100,0.1,24
150,100,10,0,50,100,100,0.1,26
163,100,10,0,50,100,100,0.1,18
162,100,10,0,50,100,100,0.1,21
164,100,10,0,50,100,100,0.1,26
166,100,10,0,50,100,100,0.1,21
165,100,10,0,50,100,100,0.1,23
169,100,10,0,50,100,100,0.1,19
167,100,10,0,50,100,100,0.1,23
160,100,10,0,50,100,100,0.1,25
170,100,10,0,50,100,100,0.1,25
143,100,10,0,50,100,100,0.1,30
161,100,10,0,50,100,100,0.1,21
173,100,10,0,50,100,100,0.1,20
178,100,10,0,50,100,100,0.1,19
176,100,10,0,50,100,100,0.1,25
177,100,10,0,50,100,100,0.1,20
171,100,10,0,50,100,100,0.1,19
180,100,10,0,50,100,100,0.1,22
175,100,10,0,50,100,100,0.1,34
168,100,10,0,50,100,100,0.1,20
179,100,10,0,50,100,100,0.1,23
181,100,10,0,50,100,100,0.1,24
183,100,10,0,50,100,100,0.1,23
186,100,10,0,50,100,100,0.1,19
187,100,10,0,50,100,100,0.1,24
174,100,10,0,50,100,100,0.1,21
172,100,10,0,50,100,100,0.1,31
189,100,10,0,50,100,100,0.1,20
188,100,10,0,50,100,100,0.1,22
191,100,10,0,50,100,100,0.1,25
194,100,10,0,50,100,100,0.1,19
196,100,10,0,50,100,100,0.1,18
192,100,10,0,50,100,100,0.1,22
185,100,10,0,50,100,100,0.1,21
197,100,10,0,50,100,100,0.1,23
195,100,10,0,50,100,100,0.1,26
198,100,10,0,50,100,100,0.1,19
201,100,10,0,50,100,100,0.2,19
190,100,10,0,50,100,100,0.1,27
193,100,10,0,50,100,100,0.1,21
203,100,10,0,50,100,100,0.2,20
204,100,10,0,50,100,100,0.2,22
206,100,10,0,50,100,100,0.2,18
184,100,10,0,50,100,100,0.1,29
202,100,10,0,50,100,100,0.2,29
182,100,10,0,50,100,100,0.1,22
205,100,10,0,50,100,100,0.2,28
208,100,10,0,50,100,100,0.2,26
209,100,10,0,50,100,100,0.2,22
210,100,10,0,50,100,100,0.2,30
211,100,10,0,50,100,100,0.2,22
199,100,10,0,50,100,100,0.1,27
216,100,10,0,50,100,100,0.2,18
200,100,10,0,50,100,100,0.1,32
214,100,10,0,50,100,100,0.2,21
207,100,10,0,50,100,100,0.2,21
213,100,10,0,50,100,100,0.2,17
220,100,10,0,50,100,100,0.2,19
221,100,10,0,50,100,100,0.2,24
215,100,10,0,50,100,100,0.2,39
223,100,10,0,50,100,100,0.2,19
218,100,10,0,50,100,100,0.2,35
224,100,10,0,50,100,100,0.2,16
212,100,10,0,50,100,100,0.2,19
222,100,10,0,50,100,100,0.2,28
228,100,10,0,50,100,100,0.2,19
217,100,10,0,50,100,100,0.2,27
226,100,10,0,50,100,100,0.2,23
231,100,10,0,50,100,100,0.2,21
232,100,10,0,50,100,100,0.2,27
233,100,10,0,50,100,100,0.2,22
234,100,10,0,50,100,100,0.2,23
219,100,10,0,50,100,100,0.2,26
227,100,10,0,50,100,100,0.2,21
235,100,10,0,50,100,100,0.2,23
236,100,10,0,50,100,100,0.2,28
239,100,10,0,50,100,100,0.2,21
238,100,10,0,50,100,100,0.2,30
230,100,10,0,50,100,100,0.2,22
237,100,10,0,50,100,100,0.2,19
225,100,10,0,50,100,100,0.2,26
243,100,10,0,50,100,100,0.2,19
229,100,10,0,50,100,100,0.2,24
242,100,10,0,50,100,100,0.2,26
241,100,10,0,50,100,100,0.2,34
244,100,10,0,50,100,100,0.2,24
245,100,10,0,50,100,100,0.2,32
240,100,10,0,50,100,100,0.2,20
250,100,10,0,50,100,100,0.2,19
249,100,10,0,50,100,100,0.2,23
248,100,10,0,50,100,100,0.2,25
251,100,10,0,50,100,100,0.2,20
255,100,10,0,50,100,100,0.2,18
246,100,10,0,50,100,100,0.2,24
257,100,10,0,50,100,100,0.2,21
258,100,10,0,50,100,100,0.2,22
247,100,10,0,50,100,100,0.2,30
259,100,10,0,50,100,100,0.2,30
260,100,10,0,50,100,100,0.2,27
252,100,10,0,50,100,100,0.2,23
264,100,10,0,50,100,100,0.2,22
262,100,10,0,50,100,100,0.2,26
265,100,10,0,50,100,100,0.2,21
254,100,10,0,50,100,100,0.2,27
263,100,10,0,50,100,100,0.2,34
256,100,10,0,50,100,100,0.2,27
266,100,10,0,50,100,100,0.2,27
269,100,10,0,50,100,100,0.2,20
271,100,10,0,50,100,100,0.2,21
268,100,10,0,50,100,100,0.2,22
261,100,10,0,50,100,100,0.2,26
272,100,10,0,50,100,100,0.2,23
275,100,10,0,50,100,100,0.2,21
276,100,10,0,50,100,100,0.2,20
274,100,10,0,50,100,100,0.2,23
270,100,10,0,50,100,100,0.2,28
253,100,10,0,50,100,100,0.2,28
280,100,10,0,50,100,100,0.2,22
267,100,10,0,50,100,100,0.2,27
278,100,10,0,50,100,100,0.2,33
282,100,10,0,50,100,100,0.2,21
283,100,10,0,50,100,100,0.2,18
281,100,10,0,50,100,100,0.2,24
273,100,10,0,50,100,100,0.2,27
286,100,10,0,50,100,100,0.2,22
285,100,10,0,50,100,100,0.2,26
284,100,10,0,50,100,100,0.2,19
291,100,10,0,50,100,100,0.2,19
277,100,10,0,50,100,100,0.2,20
288,100,10,0,50,100,100,0.2,24
287,100,10,0,50,100,100,0.2,28
293,100,10,0,50,100,100,0.2,19
295,100,10,0,50,100,100,0.2,19
294,100,10,0,50,100,100,0.2,20
290,100,10,0,50,100,100,0.2,25
298,100,10,0,50,100,100,0.2,19
296,100,10,0,50,100,100,0.2,35
289,100,10,0,50,100,100,0.2,28
301,100,10,0,50,100,100,0.3,24
299,100,10,0,50,100,100,0.2,28
303,100,10,0,50,100,100,0.3,19
304,100,10,0,50,100,100,0.3,25
292,100,10,0,50,100,100,0.2,22
297,100,10,0,50,100,100,0.2,20
305,100,10,0,50,100,100,0.3,22
307,100,10,0,50,100,100,0.3,24
302,100,10,0,50,100,100,0.3,23
279,100,10,0,50,100,100,0.2,28
306,100,10,0,50,100,100,0.3,33
309,100,10,0,50,100,100,0.3,26
311,100,10,0,50,100,100,0.3,21
312,100,10,0,50,100,100,0.3,29
310,100,10,0,50,100,100,0.3,27
314,100,10,0,50,100,100,0.3,25
308,100,10,0,50,100,100,0.3,21
313,100,10,0,50,100,100,0.3,30
315,100,10,0,50,100,100,0.3,23
300,100,10,0,50,100,100,0.2,22
318,100,10,0,50,100,100,0.3,27
316,100,10,0,50,100,100,0.3,18
319,100,10,0,50,100,100,0.3,27
323,100,10,0,50,100,100,0.3,26
322,100,10,0,50,100,100,0.3,32
325,100,10,0,50,100,100,0.3,35
327,100,10,0,50,100,100,0.3,23
326,100,10,0,50,100,100,0.3,24
329,100,10,0,50,100,100,0.3,23
330,100,10,0,50,100,100,0.3,23
317,100,10,0,50,100,100,0.3,24
332,100,10,0,50,100,100,0.3,25
324,100,10,0,50,100,100,0.3,20
334,100,10,0,50,100,100,0.3,29
337,100,10,0,50,100,100,0.3,18
335,100,10,0,50,100,100,0.3,30
336,100,10,0,50,100,100,0.3,23
328,100,10,0,50,100,100,0.3,20
341,100,10,0,50,100,100,0.3,20
320,100,10,0,50,100,100,0.3,25
321,100,10,0,50,100,100,0.3,24
340,100,10,0,50,100,100,0.3,26
343,100,10,0,50,100,100,0.3,21
339,100,10,0,50,100,100,0.3,29
338,100,10,0,50,100,100,0.3,27
346,100,10,0,50,100,100,0.3,21
347,100,10,0,50,100,100,0.3,21
348,100,10,0,50,100,100,0.3,21
345,100,10,0,50,100,100,0.3,35
333,100,10,0,50,100,100,0.3,26
353,100,10,0,50,100,100,0.3,19
354,100,10,0,50,100,100,0.3,21
350,100,10,0,50,100,100,0.3,29
