[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
4,100,1,0.5,50,100,100,1.5,20
10,100,1,0.5,50,100,100,1.5,22
15,100,1,0.5,50,100,100,1.5,22
9,100,1,0.5,50,100,100,1.5,21
6,100,1,0.5,50,100,100,1.5,18
13,100,1,0.5,50,100,100,1.5,21
1,100,1,0.5,50,100,100,1.5,24
11,100,1,0.5,50,100,100,1.5,30
8,100,1,0.5,50,100,100,1.5,22
2,100,1,0.5,50,100,100,1.5,24
3,100,1,0.5,50,100,100,1.5,32
12,100,1,0.5,50,100,100,1.5,31
14,100,1,0.5,50,100,100,1.5,25
16,100,1,0.5,50,100,100,1.5,30
7,100,1,0.5,50,100,100,1.5,29
5,100,1,0.5,50,100,100,1.5,37
23,100,1,0.5,50,100,100,1.5,19
19,100,1,0.5,50,100,100,1.5,29
20,100,1,0.5,50,100,100,1.5,23
18,100,1,0.5,50,100,100,1.5,33
22,100,1,0.5,50,100,100,1.5,27
21,100,1,0.5,50,100,100,1.5,27
27,100,1,0.5,50,100,100,1.5,21
17,100,1,0.5,50,100,100,1.5,39
28,100,1,0.5,50,100,100,1.5,20
25,100,1,0.5,50,100,100,1.5,22
24,100,1,0.5,50,100,100,1.5,27
32,100,1,0.5,50,100,100,1.5,18
34,100,1,0.5,50,100,100,1.5,26
29,100,1,0.5,50,100,100,1.5,30
26,100,1,0.5,50,100,100,1.5,26
35,100,1,0.5,50,100,100,1.5,27
33,100,1,0.5,50,100,100,1.5,30
39,100,1,0.5,50,100,100,1.5,22
40,100,1,0.5,50,100,100,1.5,21
36,100,1,0.5,50,100,100,1.5,32
31,100,1,0.5,50,100,100,1.5,26
37,100,1,0.5,50,100,100,1.5,32
42,100,1,0.5,50,100,100,1.5,21
30,100,1,0.5,50,100,100,1.5,38
43,100,1,0.5,50,100,100,1.5,25
38,100,1,0.5,50,100,100,1.5,27
44,100,1,0.5,50,100,100,1.5,32
45,100,1,0.5,50,100,100,1.5,23
48,100,1,0.5,50,100,100,1.5,23
51,100,1,0.5,50,100,100,1.5,22
41,100,1,0.5,50,100,100,1.5,30
52,100,1,0.5,50,100,100,1.5,21
54,100,1,0.5,50,100,100,1.5,20
49,100,1,0.5,50,100,100,1.5,33
50,100,1,0.5,50,100,100,1.5,38
47,100,1,0.5,50,100,100,1.5,22
60,100,1,0.5,50,100,100,1.5,20
59,100,1,0.5,50,100,100,1.5,24
56,100,1,0.5,50,100,100,1.5,24
46,100,1,0.5,50,100,100,1.5,27
53,100,1,0.5,50,100,100,1.5,24
61,100,1,0.5,50,100,100,1.5,23
62,100,1,0.5,50,100,100,1.5,20
58,100,1,0.5,50,100,100,1.5,22
55,100,1,0.5,50,100,100,1.5,28
57,100,1,0.5,50,100,100,1.5,33
64,100,1,0.5,50,100,100,1.5,27
66,100,1,0.5,50,100,100,1.5,29
67,100,1,0.5,50,100,100,1.5,31
63,100,1,0.5,50,100,100,1.5,28
65,100,1,0.5,50,100,100,1.5,35
70,100,1,0.5,50,100,100,1.5,26
69,100,1,0.5,50,100,100,1.5,30
71,100,1,0.5,50,100,100,1.5,21
68,100,1,0.5,50,100,100,1.5,29
72,100,1,0.5,50,100,100,1.5,23
77,100,1,0.5,50,100,100,1.5,20
75,100,1,0.5,50,100,100,1.5,30
74,100,1,0.5,50,100,100,1.5,26
76,100,1,0.5,50,100,100,1.5,28
81,100,1,0.5,50,100,100,1.5,19
83,100,1,0.5,50,100,100,1.5,19
73,100,1,0.5,50,100,100,1.5,32
78,100,1,0.5,50,100,100,1.5,25
86,100,1,0.5,50,100,100,1.5,20
80,100,1,0.5,50,100,100,1.5,30
82,100,1,0.5,50,100,100,1.5,27
88,100,1,0.5,50,100,100,1.5,20
84,100,1,0.5,50,100,100,1.5,26
87,100,1,0.5,50,100,100,1.5,25
89,100,1,0.5,50,100,100,1.5,29
91,100,1,0.5,50,100,100,1.5,27
90,100,1,0.5,50,100,100,1.5,26
93,100,1,0.5,50,100,100,1.5,24
94,100,1,0.5,50,100,100,1.5,26
85,100,1,0.5,50,100,100,1.5,40
100,100,1,0.5,50,100,100,1.5,19
96,100,1,0.5,50,100,100,1.5,24
79,100,1,0.5,50,100,100,1.5,23
95,100,1,0.5,50,100,100,1.5,29
101,100,1,1,50,100,100,1.5,24
98,100,1,0.5,50,100,100,1.5,24
97,100,1,0.5,50,100,100,1.5,24
106,100,1,1,50,100,100,1.5,20
99,100,1,0.5,50,100,100,1.5,31
104,100,1,1,50,100,100,1.5,27
107,100,1,1,50,100,100,1.5,23
92,100,1,0.5,50,100,100,1.5,26
105,100,1,1,50,100,100,1.5,26
102,100,1,1,50,100,100,1.5,24
108,100,1,1,50,100,100,1.5,44
114,100,1,1,50,100,100,1.5,29
111,100,1,1,50,100,100,1.5,31
116,100,1,1,50,100,100,1.5,23
103,100,1,1,50,100,100,1.5,21
119,100,1,1,50,100,100,1.5,25
109,100,1,1,50,100,100,1.5,21
113,100,1,1,50,100,100,1.5,44
121,100,1,1,50,100,100,1.5,21
118,100,1,1,50,100,100,1.5,32
124,100,1,1,50,100,100,1.5,23
123,100,1,1,50,100,100,1.5,35
126,100,1,1,50,100,100,1.5,23
131,100,1,1,50,100,100,1.5,20
117,100,1,1,50,100,100,1.5,23
128,100,1,1,50,100,100,1.5,25
120,100,1,1,50,100,100,1.5,24
130,100,1,1,50,100,100,1.5,27
132,100,1,1,50,100,100,1.5,34
112,100,1,1,50,100,100,1.5,45
127,100,1,1,50,100,100,1.5,20
129,100,1,1,50,100,100,1.5,19
110,100,1,1,50,100,100,1.5,41
115,100,1,1,50,100,100,1.5,29
125,100,1,1,50,100,100,1.5,24
133,100,1,1,50,100,100,1.5,32
122,100,1,1,50,100,100,1.5,28
135,100,1,1,50,100,100,1.5,32
138,100,1,1,50,100,100,1.5,19
140,100,1,1,50,100,100,1.5,26
134,100,1,1,50,100,100,1.5,34
141,100,1,1,50,100,100,1.5,21
136,100,1,1,50,100,100,1.5,24
150,100,1,1,50,100,100,1.5,19
139,100,1,1,50,100,100,1.5,20
147,100,1,1,50,100,100,1.5,27
137,100,1,1,50,100,100,1.5,23
148,100,1,1,50,100,100,1.5,30
152,100,1,1,50,100,100,1.5,26
155,100,1,1,50,100,100,1.5,23
151,100,1,1,50,100,100,1.5,33
143,100,1,1,50,100,100,1.5,26
145,100,1,1,50,100,100,1.5,23
154,100,1,1,50,100,100,1.5,42
160,100,1,1,50,100,100,1.5,21
158,100,1,1,50,100,100,1.5,24
153,100,1,1,50,100,100,1.5,21
163,100,1,1,50,100,100,1.5,20
162,100,1,1,50,100,100,1.5,24
142,100,1,1,50,100,100,1.5,30
156,100,1,1,50,100,100,1.5,40
168,100,1,1,50,100,100,1.5,18
