[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
7,100,10,1,1,13,5,50,117
8,100,10,1,1,15,5,50,122
6,100,10,1,1,11,5,50,129
3,100,10,1,1,5,5,50,157
16,100,10,1,1,31,5,50,125
10,100,10,1,1,19,5,50,159
12,100,10,1,1,23,5,50,140
5,100,10,1,1,9,5,50,131
14,100,10,1,1,27,5,50,107
15,100,10,1,1,29,5,50,146
9,100,10,1,1,17,5,50,127
4,100,10,1,1,7,5,50,154
13,100,10,1,1,25,5,50,118
11,100,10,1,1,21,5,50,138
17,100,10,1,1,33,5,50,125
18,100,10,1,1,35,5,50,121
2,100,10,1,1,3,5,50,239
22,100,10,1,1,43,5,50,94
19,100,10,1,1,37,5,50,129
20,100,10,1,1,39,5,50,114
21,100,10,1,1,41,5,50,116
23,100,10,1,1,45,5,50,115
1,100,10,1,1,1,5,50,655
26,100,10,1,1,51,5,50,111
31,100,10,1,1,61,5,50,100
32,100,10,1,1,63,5,50,110
25,100,10,1,1,49,5,50,130
24,100,10,1,1,47,5,50,133
29,100,10,1,1,57,5,50,114
34,100,10,1,1,67,5,50,122
36,100,10,1,1,71,5,50,108
30,100,10,1,1,59,5,50,108
28,100,10,1,1,55,5,50,117
38,100,10,1,1,75,5,50,83
35,100,10,1,1,69,5,50,114
27,100,10,1,1,53,5,50,124
37,100,10,1,1,73,5,50,126
40,100,10,1,1,79,5,50,111
39,100,10,1,1,77,5,50,121
41,100,10,1,1,81,5,50,128
33,100,10,1,1,65,5,50,119
42,100,10,1,1,83,5,50,110
47,100,10,1,1,93,5,50,90
55,100,10,1,1,9,10,50,108
46,100,10,1,1,91,5,50,112
50,100,10,1,1,99,5,50,97
54,100,10,1,1,7,10,50,149
56,100,10,1,1,11,10,50,108
58,100,10,1,1,15,10,50,96
53,100,10,1,1,5,10,50,198
43,100,10,1,1,85,5,50,110
45,100,10,1,1,89,5,50,121
49,100,10,1,1,97,5,50,88
59,100,10,1,1,17,10,50,99
57,100,10,1,1,13,10,50,97
44,100,10,1,1,87,5,50,119
48,100,10,1,1,95,5,50,104
60,100,10,1,1,19,10,50,107
61,100,10,1,1,21,10,50,105
62,100,10,1,1,23,10,50,102
63,100,10,1,1,25,10,50,99
66,100,10,1,1,31,10,50,94
64,100,10,1,1,27,10,50,104
65,100,10,1,1,29,10,50,100
52,100,10,1,1,3,10,50,240
70,100,10,1,1,39,10,50,96
71,100,10,1,1,41,10,50,85
69,100,10,1,1,37,10,50,88
74,100,10,1,1,47,10,50,90
67,100,10,1,1,33,10,50,105
72,100,10,1,1,43,10,50,91
68,100,10,1,1,35,10,50,112
75,100,10,1,1,49,10,50,94
76,100,10,1,1,51,10,50,95
77,100,10,1,1,53,10,50,90
79,100,10,1,1,57,10,50,91
78,100,10,1,1,55,10,50,90
80,100,10,1,1,59,10,50,99
73,100,10,1,1,45,10,50,119
81,100,10,1,1,61,10,50,92
85,100,10,1,1,69,10,50,89
86,100,10,1,1,71,10,50,79
82,100,10,1,1,63,10,50,107
51,100,10,1,1,1,10,50,605
84,100,10,1,1,67,10,50,87
87,100,10,1,1,73,10,50,84
83,100,10,1,1,65,10,50,110
90,100,10,1,1,79,10,50,82
89,100,10,1,1,77,10,50,87
92,100,10,1,1,83,10,50,79
91,100,10,1,1,81,10,50,87
94,100,10,1,1,87,10,50,86
93,100,10,1,1,85,10,50,83
88,100,10,1,1,75,10,50,98
97,100,10,1,1,93,10,50,92
99,100,10,1,1,97,10,50,83
107,100,10,1,1,13,20,50,93
108,100,10,1,1,15,20,50,100
100,100,10,1,1,99,10,50,98
95,100,10,1,1,89,10,50,92
105,100,10,1,1,9,20,50,140
106,100,10,1,1,11,20,50,109
98,100,10,1,1,95,10,50,90
104,100,10,1,1,7,20,50,157
109,100,10,1,1,17,20,50,113
96,100,10,1,1,91,10,50,94
111,100,10,1,1,21,20,50,100
112,100,10,1,1,23,20,50,105
114,100,10,1,1,27,20,50,91
110,100,10,1,1,19,20,50,111
115,100,10,1,1,29,20,50,89
113,100,10,1,1,25,20,50,98
117,100,10,1,1,33,20,50,89
118,100,10,1,1,35,20,50,72
116,100,10,1,1,31,20,50,89
121,100,10,1,1,41,20,50,86
123,100,10,1,1,45,20,50,91
120,100,10,1,1,39,20,50,97
124,100,10,1,1,47,20,50,76
103,100,10,1,1,5,20,50,239
119,100,10,1,1,37,20,50,78
102,100,10,1,1,3,20,50,224
122,100,10,1,1,43,20,50,90
125,100,10,1,1,49,20,50,84
127,100,10,1,1,53,20,50,84
128,100,10,1,1,55,20,50,77
130,100,10,1,1,59,20,50,73
129,100,10,1,1,57,20,50,89
132,100,10,1,1,63,20,50,80
126,100,10,1,1,51,20,50,86
133,100,10,1,1,65,20,50,94
131,100,10,1,1,61,20,50,79
134,100,10,1,1,67,20,50,94
135,100,10,1,1,69,20,50,84
140,100,10,1,1,79,20,50,68
141,100,10,1,1,81,20,50,73
138,100,10,1,1,75,20,50,80
142,100,10,1,1,83,20,50,91
139,100,10,1,1,77,20,50,82
136,100,10,1,1,71,20,50,96
143,100,10,1,1,85,20,50,92
137,100,10,1,1,73,20,50,92
144,100,10,1,1,87,20,50,80
147,100,10,1,1,93,20,50,68
145,100,10,1,1,89,20,50,67
150,100,10,1,1,99,20,50,69
149,100,10,1,1,97,20,50,86
148,100,10,1,1,95,20,50,85
146,100,10,1,1,91,20,50,88
158,100,10,1,1,15,50,50,82
160,100,10,1,1,19,50,50,94
154,100,10,1,1,7,50,50,134
161,100,10,1,1,21,50,50,110
157,100,10,1,1,13,50,50,132
159,100,10,1,1,17,50,50,117
156,100,10,1,1,11,50,50,111
155,100,10,1,1,9,50,50,160
101,100,10,1,1,1,20,50,534
152,100,10,1,1,3,50,50,228
153,100,10,1,1,5,50,50,185
162,100,10,1,1,23,50,50,102
164,100,10,1,1,27,50,50,87
163,100,10,1,1,25,50,50,90
165,100,10,1,1,29,50,50,79
166,100,10,1,1,31,50,50,83
167,100,10,1,1,33,50,50,87
168,100,10,1,1,35,50,50,76
171,100,10,1,1,41,50,50,78
169,100,10,1,1,37,50,50,86
170,100,10,1,1,39,50,50,108
172,100,10,1,1,43,50,50,101
173,100,10,1,1,45,50,50,72
175,100,10,1,1,49,50,50,75
177,100,10,1,1,53,50,50,83
178,100,10,1,1,55,50,50,64
180,100,10,1,1,59,50,50,66
179,100,10,1,1,57,50,50,85
176,100,10,1,1,51,50,50,85
174,100,10,1,1,47,50,50,87
181,100,10,1,1,61,50,50,76
182,100,10,1,1,63,50,50,75
184,100,10,1,1,67,50,50,73
183,100,10,1,1,65,50,50,87
186,100,10,1,1,71,50,50,83
188,100,10,1,1,75,50,50,71
185,100,10,1,1,69,50,50,126
187,100,10,1,1,73,50,50,83
189,100,10,1,1,77,50,50,86
193,100,10,1,1,85,50,50,64
190,100,10,1,1,79,50,50,76
191,100,10,1,1,81,50,50,91
195,100,10,1,1,89,50,50,85
197,100,10,1,1,93,50,50,90
192,100,10,1,1,83,50,50,86
196,100,10,1,1,91,50,50,77
194,100,10,1,1,87,50,50,91
199,100,10,1,1,97,50,50,72
198,100,10,1,1,95,50,50,84
200,100,10,1,1,99,50,50,85
206,100,10,1,1,11,100,50,81
210,100,10,1,1,19,100,50,96
208,100,10,1,1,15,100,50,99
204,100,10,1,1,7,100,50,170
209,100,10,1,1,17,100,50,118
212,100,10,1,1,23,100,50,90
211,100,10,1,1,21,100,50,111
207,100,10,1,1,13,100,50,146
151,100,10,1,1,1,50,50,597
