[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
16,100,10,1,1,31,100,20,154
7,100,10,1,1,13,100,20,152
5,100,10,1,1,9,100,20,206
12,100,10,1,1,23,100,20,163
11,100,10,1,1,21,100,20,178
15,100,10,1,1,29,100,20,174
8,100,10,1,1,15,100,20,168
6,100,10,1,1,11,100,20,249
14,100,10,1,1,27,100,20,153
13,100,10,1,1,25,100,20,176
9,100,10,1,1,17,100,20,170
2,100,10,1,1,3,100,20,329
18,100,10,1,1,35,100,20,123
10,100,10,1,1,19,100,20,204
17,100,10,1,1,33,100,20,177
3,100,10,1,1,5,100,20,312
4,100,10,1,1,7,100,20,296
19,100,10,1,1,37,100,20,182
20,100,10,1,1,39,100,20,189
22,100,10,1,1,43,100,20,162
21,100,10,1,1,41,100,20,227
23,100,10,1,1,45,100,20,196
24,100,10,1,1,47,100,20,141
29,100,10,1,1,57,100,20,155
28,100,10,1,1,55,100,20,178
25,100,10,1,1,49,100,20,143
26,100,10,1,1,51,100,20,155
31,100,10,1,1,61,100,20,176
35,100,10,1,1,69,100,20,150
30,100,10,1,1,59,100,20,141
34,100,10,1,1,67,100,20,185
27,100,10,1,1,53,100,20,188
38,100,10,1,1,75,100,20,157
37,100,10,1,1,73,100,20,160
36,100,10,1,1,71,100,20,178
39,100,10,1,1,77,100,20,159
32,100,10,1,1,63,100,20,150
33,100,10,1,1,65,100,20,173
40,100,10,1,1,79,100,20,166
41,100,10,1,1,81,100,20,152
44,100,10,1,1,87,100,20,142
45,100,10,1,1,89,100,20,170
47,100,10,1,1,93,100,20,175
43,100,10,1,1,85,100,20,150
42,100,10,1,1,83,100,20,156
50,100,10,1,1,99,100,20,146
49,100,10,1,1,97,100,20,170
46,100,10,1,1,91,100,20,214
56,100,10,1,1,11,100,40,161
57,100,10,1,1,13,100,40,136
48,100,10,1,1,95,100,20,179
59,100,10,1,1,17,100,40,122
54,100,10,1,1,7,100,40,163
53,100,10,1,1,5,100,40,238
58,100,10,1,1,15,100,40,111
55,100,10,1,1,9,100,40,185
61,100,10,1,1,21,100,40,108
52,100,10,1,1,3,100,40,312
60,100,10,1,1,19,100,40,141
63,100,10,1,1,25,100,40,124
64,100,10,1,1,27,100,40,111
66,100,10,1,1,31,100,40,104
62,100,10,1,1,23,100,40,152
67,100,10,1,1,33,100,40,95
65,100,10,1,1,29,100,40,120
69,100,10,1,1,37,100,40,92
68,100,10,1,1,35,100,40,125
72,100,10,1,1,43,100,40,89
71,100,10,1,1,41,100,40,95
70,100,10,1,1,39,100,40,106
75,100,10,1,1,49,100,40,74
74,100,10,1,1,47,100,40,98
73,100,10,1,1,45,100,40,102
1,100,10,1,1,1,100,20,956
76,100,10,1,1,51,100,40,93
78,100,10,1,1,55,100,40,91
79,100,10,1,1,57,100,40,87
83,100,10,1,1,65,100,40,82
84,100,10,1,1,67,100,40,87
77,100,10,1,1,53,100,40,90
81,100,10,1,1,61,100,40,99
80,100,10,1,1,59,100,40,91
85,100,10,1,1,69,100,40,68
82,100,10,1,1,63,100,40,102
86,100,10,1,1,71,100,40,82
87,100,10,1,1,73,100,40,87
88,100,10,1,1,75,100,40,99
89,100,10,1,1,77,100,40,80
91,100,10,1,1,81,100,40,90
94,100,10,1,1,87,100,40,70
93,100,10,1,1,85,100,40,88
90,100,10,1,1,79,100,40,84
92,100,10,1,1,83,100,40,100
95,100,10,1,1,89,100,40,90
97,100,10,1,1,93,100,40,107
99,100,10,1,1,97,100,40,88
51,100,10,1,1,1,100,40,640
96,100,10,1,1,91,100,40,96
100,100,10,1,1,99,100,40,88
98,100,10,1,1,95,100,40,96
106,100,10,1,1,11,100,60,126
107,100,10,1,1,13,100,60,114
105,100,10,1,1,9,100,60,154
111,100,10,1,1,21,100,60,76
109,100,10,1,1,17,100,60,99
103,100,10,1,1,5,100,60,184
110,100,10,1,1,19,100,60,96
108,100,10,1,1,15,100,60,109
104,100,10,1,1,7,100,60,149
112,100,10,1,1,23,100,60,84
113,100,10,1,1,25,100,60,102
115,100,10,1,1,29,100,60,71
102,100,10,1,1,3,100,60,226
114,100,10,1,1,27,100,60,91
116,100,10,1,1,31,100,60,97
117,100,10,1,1,33,100,60,89
118,100,10,1,1,35,100,60,59
119,100,10,1,1,37,100,60,75
121,100,10,1,1,41,100,60,76
123,100,10,1,1,45,100,60,69
120,100,10,1,1,39,100,60,85
122,100,10,1,1,43,100,60,89
124,100,10,1,1,47,100,60,80
126,100,10,1,1,51,100,60,68
127,100,10,1,1,53,100,60,70
125,100,10,1,1,49,100,60,84
128,100,10,1,1,55,100,60,67
130,100,10,1,1,59,100,60,66
132,100,10,1,1,63,100,60,70
129,100,10,1,1,57,100,60,75
133,100,10,1,1,65,100,60,61
131,100,10,1,1,61,100,60,79
134,100,10,1,1,67,100,60,84
136,100,10,1,1,71,100,60,68
138,100,10,1,1,75,100,60,58
135,100,10,1,1,69,100,60,87
137,100,10,1,1,73,100,60,85
140,100,10,1,1,79,100,60,67
141,100,10,1,1,81,100,60,75
145,100,10,1,1,89,100,60,60
139,100,10,1,1,77,100,60,80
143,100,10,1,1,85,100,60,58
142,100,10,1,1,83,100,60,72
144,100,10,1,1,87,100,60,67
146,100,10,1,1,91,100,60,72
147,100,10,1,1,93,100,60,62
148,100,10,1,1,95,100,60,67
149,100,10,1,1,97,100,60,81
150,100,10,1,1,99,100,60,75
156,100,10,1,1,11,100,80,115
162,100,10,1,1,23,100,80,63
154,100,10,1,1,7,100,80,165
160,100,10,1,1,19,100,80,86
159,100,10,1,1,17,100,80,81
158,100,10,1,1,15,100,80,103
