,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
0,100.0,10.0,1.0,1.3000000000000003,3.0,100.0,50.0,277.71
1,100.0,10.0,1.0,1.5999999999999996,3.0,100.0,50.0,285.91
2,100.0,10.0,1.0,0.6,3.0,100.0,50.0,267.22
3,100.0,10.0,1.0,1.0,3.0,100.0,50.0,275.19
4,100.0,10.0,1.0,0.0,3.0,100.0,50.0,307.29
5,100.0,10.0,1.0,0.3,3.0,100.0,50.0,263.99
6,100.0,10.0,1.0,2.0,3.0,100.0,50.0,278.97
7,100.0,10.0,1.0,1.3000000000000003,5.0,100.0,50.0,216.16
8,100.0,10.0,1.0,1.5999999999999996,5.0,100.0,50.0,210.02
9,100.0,10.0,1.0,0.6,5.0,100.0,50.0,189.28
10,100.0,10.0,1.0,1.0,5.0,100.0,50.0,200.9
11,100.0,10.0,1.0,0.0,5.0,100.0,50.0,204.22
12,100.0,10.0,1.0,0.3,5.0,100.0,50.0,187.01
13,100.0,10.0,1.0,2.0,5.0,100.0,50.0,245.59
14,100.0,10.0,1.0,1.3000000000000003,1.0,100.0,50.0,576.39
15,100.0,10.0,1.0,1.5999999999999996,1.0,100.0,50.0,576.48
16,100.0,10.0,1.0,0.6,1.0,100.0,50.0,582.01
17,100.0,10.0,1.0,1.0,1.0,100.0,50.0,578.65
18,100.0,10.0,1.0,0.0,1.0,100.0,50.0,768.54
19,100.0,10.0,1.0,0.3,1.0,100.0,50.0,576.54
20,100.0,10.0,1.0,2.0,1.0,100.0,50.0,577.5
21,100.0,10.0,1.0,1.3000000000000003,7.0,100.0,50.0,176.07
22,100.0,10.0,1.0,1.5999999999999996,7.0,100.0,50.0,198.81
23,100.0,10.0,1.0,0.6,7.0,100.0,50.0,152.97
24,100.0,10.0,1.0,1.0,7.0,100.0,50.0,165.09
25,100.0,10.0,1.0,0.0,7.0,100.0,50.0,156.79
26,100.0,10.0,1.0,0.3,7.0,100.0,50.0,147.48
27,100.0,10.0,1.0,2.0,7.0,100.0,50.0,229.08
28,100.0,10.0,1.0,1.3000000000000003,9.0,100.0,50.0,155.14
29,100.0,10.0,1.0,1.5999999999999996,9.0,100.0,50.0,180.15
30,100.0,10.0,1.0,0.6,9.0,100.0,50.0,131.3
31,100.0,10.0,1.0,1.0,9.0,100.0,50.0,146.52
32,100.0,10.0,1.0,0.0,9.0,100.0,50.0,123.96
33,100.0,10.0,1.0,0.3,9.0,100.0,50.0,126.97
34,100.0,10.0,1.0,2.0,9.0,100.0,50.0,214.18
35,100.0,10.0,1.0,1.3000000000000003,11.0,100.0,50.0,149.4
36,100.0,10.0,1.0,1.5999999999999996,11.0,100.0,50.0,172.19
37,100.0,10.0,1.0,0.6,11.0,100.0,50.0,117.53
38,100.0,10.0,1.0,1.0,11.0,100.0,50.0,132.55
39,100.0,10.0,1.0,0.0,11.0,100.0,50.0,111.15
40,100.0,10.0,1.0,0.3,11.0,100.0,50.0,112.38
41,100.0,10.0,1.0,2.0,11.0,100.0,50.0,222.71
42,100.0,10.0,1.0,1.3000000000000003,13.0,100.0,50.0,138.97
43,100.0,10.0,1.0,1.5999999999999996,13.0,100.0,50.0,168.59
44,100.0,10.0,1.0,0.6,13.0,100.0,50.0,105.19
45,100.0,10.0,1.0,1.0,13.0,100.0,50.0,124.47
46,100.0,10.0,1.0,0.0,13.0,100.0,50.0,96.32
47,100.0,10.0,1.0,0.3,13.0,100.0,50.0,99.93
48,100.0,10.0,1.0,2.0,13.0,100.0,50.0,237.61
49,100.0,10.0,1.0,1.3000000000000003,15.0,100.0,50.0,137.53
50,100.0,10.0,1.0,1.5999999999999996,15.0,100.0,50.0,168.88
51,100.0,10.0,1.0,0.6,15.0,100.0,50.0,100.04
52,100.0,10.0,1.0,1.0,15.0,100.0,50.0,117.82
53,100.0,10.0,1.0,0.0,15.0,100.0,50.0,85.1
54,100.0,10.0,1.0,0.3,15.0,100.0,50.0,89.57
55,100.0,10.0,1.0,2.0,15.0,100.0,50.0,258.16
56,100.0,10.0,1.0,1.3000000000000003,17.0,100.0,50.0,138.07
57,100.0,10.0,1.0,1.5999999999999996,17.0,100.0,50.0,171.29
58,100.0,10.0,1.0,0.6,17.0,100.0,50.0,92.39
59,100.0,10.0,1.0,1.0,17.0,100.0,50.0,110.99
60,100.0,10.0,1.0,0.0,17.0,100.0,50.0,79.44
61,100.0,10.0,1.0,0.3,17.0,100.0,50.0,82.71
62,100.0,10.0,1.0,2.0,17.0,100.0,50.0,282.65
63,100.0,10.0,1.0,1.3000000000000003,19.0,100.0,50.0,131.93
64,100.0,10.0,1.0,1.5999999999999996,19.0,100.0,50.0,182.32
65,100.0,10.0,1.0,0.6,19.0,100.0,50.0,86.48
66,100.0,10.0,1.0,1.0,19.0,100.0,50.0,107.66
67,100.0,10.0,1.0,0.0,19.0,100.0,50.0,72.76
68,100.0,10.0,1.0,0.3,19.0,100.0,50.0,77.05
69,100.0,10.0,1.0,2.0,19.0,100.0,50.0,305.9
70,100.0,10.0,1.0,1.3000000000000003,21.0,100.0,50.0,131.77
71,100.0,10.0,1.0,1.5999999999999996,21.0,100.0,50.0,184.38
72,100.0,10.0,1.0,0.6,21.0,100.0,50.0,81.63
73,100.0,10.0,1.0,1.0,21.0,100.0,50.0,105.38
74,100.0,10.0,1.0,0.0,21.0,100.0,50.0,68.53
75,100.0,10.0,1.0,0.3,21.0,100.0,50.0,72.24
76,100.0,10.0,1.0,2.0,21.0,100.0,50.0,328.12
77,100.0,10.0,1.0,1.3000000000000003,23.0,100.0,50.0,128.88
78,100.0,10.0,1.0,1.5999999999999996,23.0,100.0,50.0,184.34
79,100.0,10.0,1.0,0.6,23.0,100.0,50.0,78.39
80,100.0,10.0,1.0,1.0,23.0,100.0,50.0,101.49
81,100.0,10.0,1.0,0.0,23.0,100.0,50.0,61.85
82,100.0,10.0,1.0,0.3,23.0,100.0,50.0,67.38
83,100.0,10.0,1.0,2.0,23.0,100.0,50.0,349.74
84,100.0,10.0,1.0,1.3000000000000003,25.0,100.0,50.0,130.43
85,100.0,10.0,1.0,1.5999999999999996,25.0,100.0,50.0,193.95
86,100.0,10.0,1.0,0.6,25.0,100.0,50.0,73.99
87,100.0,10.0,1.0,1.0,25.0,100.0,50.0,98.02
88,100.0,10.0,1.0,0.0,25.0,100.0,50.0,59.62
89,100.0,10.0,1.0,0.3,25.0,100.0,50.0,64.26
90,100.0,10.0,1.0,2.0,25.0,100.0,50.0,376.81
91,100.0,10.0,1.0,1.3000000000000003,27.0,100.0,50.0,125.52
92,100.0,10.0,1.0,1.5999999999999996,27.0,100.0,50.0,199.66
93,100.0,10.0,1.0,0.6,27.0,100.0,50.0,70.14
94,100.0,10.0,1.0,1.0,27.0,100.0,50.0,97.13
95,100.0,10.0,1.0,0.0,27.0,100.0,50.0,55.59
96,100.0,10.0,1.0,0.3,27.0,100.0,50.0,61.41
97,100.0,10.0,1.0,2.0,27.0,100.0,50.0,410.87
98,100.0,10.0,1.0,1.3000000000000003,29.0,100.0,50.0,132.2
99,100.0,10.0,1.0,1.5999999999999996,29.0,100.0,50.0,204.37
100,100.0,10.0,1.0,0.6,29.0,100.0,50.0,69.05
101,100.0,10.0,1.0,1.0,29.0,100.0,50.0,93.4
102,100.0,10.0,1.0,0.0,29.0,100.0,50.0,53.06
103,100.0,10.0,1.0,0.3,29.0,100.0,50.0,58.97
104,100.0,10.0,1.0,2.0,29.0,100.0,50.0,453.77
105,100.0,10.0,1.0,1.3000000000000003,31.0,100.0,50.0,128.61
106,100.0,10.0,1.0,1.5999999999999996,31.0,100.0,50.0,206.49
107,100.0,10.0,1.0,0.6,31.0,100.0,50.0,65.2
108,100.0,10.0,1.0,1.0,31.0,100.0,50.0,91.48
109,100.0,10.0,1.0,0.0,31.0,100.0,50.0,49.42
110,100.0,10.0,1.0,0.3,31.0,100.0,50.0,55.14
111,100.0,10.0,1.0,2.0,31.0,100.0,50.0,454.49
112,100.0,10.0,1.0,1.3000000000000003,33.0,100.0,50.0,133.23
113,100.0,10.0,1.0,1.5999999999999996,33.0,100.0,50.0,209.48
114,100.0,10.0,1.0,0.6,33.0,100.0,50.0,66.49
115,100.0,10.0,1.0,1.0,33.0,100.0,50.0,91.95
116,100.0,10.0,1.0,0.0,33.0,100.0,50.0,48.26
117,100.0,10.0,1.0,0.3,33.0,100.0,50.0,53.75
118,100.0,10.0,1.0,2.0,33.0,100.0,50.0,493.85
119,100.0,10.0,1.0,1.3000000000000003,35.0,100.0,50.0,133.59
120,100.0,10.0,1.0,1.5999999999999996,35.0,100.0,50.0,224.0
121,100.0,10.0,1.0,0.6,35.0,100.0,50.0,63.72
122,100.0,10.0,1.0,1.0,35.0,100.0,50.0,88.38
123,100.0,10.0,1.0,0.0,35.0,100.0,50.0,45.49
124,100.0,10.0,1.0,0.3,35.0,100.0,50.0,51.78
125,100.0,10.0,1.0,2.0,35.0,100.0,50.0,508.06
126,100.0,10.0,1.0,1.3000000000000003,37.0,100.0,50.0,130.29
127,100.0,10.0,1.0,1.5999999999999996,37.0,100.0,50.0,226.03
128,100.0,10.0,1.0,0.6,37.0,100.0,50.0,58.84
129,100.0,10.0,1.0,1.0,37.0,100.0,50.0,85.56
130,100.0,10.0,1.0,0.0,37.0,100.0,50.0,43.65
131,100.0,10.0,1.0,0.3,37.0,100.0,50.0,50.67
132,100.0,10.0,1.0,2.0,37.0,100.0,50.0,553.38
133,100.0,10.0,1.0,1.3000000000000003,39.0,100.0,50.0,132.17
134,100.0,10.0,1.0,1.5999999999999996,39.0,100.0,50.0,227.66
135,100.0,10.0,1.0,0.6,39.0,100.0,50.0,58.5
136,100.0,10.0,1.0,1.0,39.0,100.0,50.0,89.03
137,100.0,10.0,1.0,0.0,39.0,100.0,50.0,43.08
138,100.0,10.0,1.0,0.3,39.0,100.0,50.0,48.69
