,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
0,100.0,10.0,1.0,1.0,13.0,5.0,50.0,143.42
1,100.0,10.0,1.0,1.0,13.0,10.0,50.0,118.08
2,100.0,10.0,1.0,1.0,13.0,20.0,50.0,118.18
3,100.0,10.0,1.0,1.0,13.0,50.0,50.0,123.67
4,100.0,10.0,1.0,1.0,13.0,100.0,50.0,121.83
5,100.0,10.0,1.0,1.0,13.0,200.0,50.0,124.43
6,100.0,10.0,1.0,1.0,15.0,5.0,50.0,140.15
7,100.0,10.0,1.0,1.0,15.0,10.0,50.0,111.71
8,100.0,10.0,1.0,1.0,15.0,20.0,50.0,112.38
9,100.0,10.0,1.0,1.0,15.0,50.0,50.0,112.86
10,100.0,10.0,1.0,1.0,15.0,100.0,50.0,115.56
11,100.0,10.0,1.0,1.0,15.0,200.0,50.0,117.96
12,100.0,10.0,1.0,1.0,11.0,5.0,50.0,149.08
13,100.0,10.0,1.0,1.0,11.0,10.0,50.0,126.13
14,100.0,10.0,1.0,1.0,11.0,20.0,50.0,126.7
15,100.0,10.0,1.0,1.0,11.0,50.0,50.0,135.22
16,100.0,10.0,1.0,1.0,11.0,100.0,50.0,133.02
17,100.0,10.0,1.0,1.0,11.0,200.0,50.0,132.43
18,100.0,10.0,1.0,1.0,5.0,5.0,50.0,210.6
19,100.0,10.0,1.0,1.0,5.0,10.0,50.0,190.98
20,100.0,10.0,1.0,1.0,5.0,20.0,50.0,196.27
21,100.0,10.0,1.0,1.0,5.0,50.0,50.0,201.28
22,100.0,10.0,1.0,1.0,5.0,100.0,50.0,202.65
23,100.0,10.0,1.0,1.0,5.0,200.0,50.0,198.27
24,100.0,10.0,1.0,1.0,31.0,5.0,50.0,124.96
25,100.0,10.0,1.0,1.0,31.0,10.0,50.0,99.43
26,100.0,10.0,1.0,1.0,31.0,20.0,50.0,89.88
27,100.0,10.0,1.0,1.0,31.0,50.0,50.0,91.92
28,100.0,10.0,1.0,1.0,31.0,100.0,50.0,92.65
29,100.0,10.0,1.0,1.0,31.0,200.0,50.0,91.24
30,100.0,10.0,1.0,1.0,19.0,5.0,50.0,135.18
31,100.0,10.0,1.0,1.0,19.0,10.0,50.0,105.91
32,100.0,10.0,1.0,1.0,19.0,20.0,50.0,104.02
33,100.0,10.0,1.0,1.0,19.0,50.0,50.0,106.68
34,100.0,10.0,1.0,1.0,19.0,100.0,50.0,106.46
35,100.0,10.0,1.0,1.0,19.0,200.0,50.0,104.22
36,100.0,10.0,1.0,1.0,23.0,5.0,50.0,133.1
37,100.0,10.0,1.0,1.0,23.0,10.0,50.0,103.93
38,100.0,10.0,1.0,1.0,23.0,20.0,50.0,93.31
