,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
0,100.0,10.0,0.3,1.0,5.0,100.0,50.0,170.14
1,100.0,10.0,0.0,1.0,5.0,100.0,50.0,164.01
2,100.0,10.0,1.3000000000000003,1.0,5.0,100.0,50.0,201.66
3,100.0,10.0,1.0,1.0,5.0,100.0,50.0,199.24
4,100.0,10.0,0.6,1.0,5.0,100.0,50.0,185.14
5,100.0,10.0,1.5999999999999996,1.0,5.0,100.0,50.0,223.64
6,100.0,10.0,2.0,1.0,5.0,100.0,50.0,228.28
7,100.0,10.0,0.3,1.0,3.0,100.0,50.0,251.96
8,100.0,10.0,0.0,1.0,3.0,100.0,50.0,241.83
9,100.0,10.0,1.3000000000000003,1.0,3.0,100.0,50.0,287.6
10,100.0,10.0,1.0,1.0,3.0,100.0,50.0,269.78
11,100.0,10.0,0.6,1.0,3.0,100.0,50.0,258.17
12,100.0,10.0,1.5999999999999996,1.0,3.0,100.0,50.0,294.19
13,100.0,10.0,2.0,1.0,3.0,100.0,50.0,303.79
14,100.0,10.0,0.3,1.0,7.0,100.0,50.0,136.05
15,100.0,10.0,0.0,1.0,7.0,100.0,50.0,129.02
16,100.0,10.0,1.3000000000000003,1.0,7.0,100.0,50.0,176.72
17,100.0,10.0,1.0,1.0,7.0,100.0,50.0,161.69
18,100.0,10.0,0.6,1.0,7.0,100.0,50.0,148.31
19,100.0,10.0,1.5999999999999996,1.0,7.0,100.0,50.0,192.07
20,100.0,10.0,2.0,1.0,7.0,100.0,50.0,209.2
21,100.0,10.0,0.3,1.0,1.0,100.0,50.0,578.15
22,100.0,10.0,0.0,1.0,1.0,100.0,50.0,577.82
23,100.0,10.0,1.3000000000000003,1.0,1.0,100.0,50.0,577.86
24,100.0,10.0,1.0,1.0,1.0,100.0,50.0,576.49
25,100.0,10.0,0.6,1.0,1.0,100.0,50.0,576.82
26,100.0,10.0,1.5999999999999996,1.0,1.0,100.0,50.0,579.4
27,100.0,10.0,2.0,1.0,1.0,100.0,50.0,577.4
28,100.0,10.0,0.3,1.0,9.0,100.0,50.0,117.4
29,100.0,10.0,0.0,1.0,9.0,100.0,50.0,104.1
30,100.0,10.0,1.3000000000000003,1.0,9.0,100.0,50.0,161.74
31,100.0,10.0,1.0,1.0,9.0,100.0,50.0,142.81
32,100.0,10.0,0.6,1.0,9.0,100.0,50.0,125.91
33,100.0,10.0,1.5999999999999996,1.0,9.0,100.0,50.0,169.44
34,100.0,10.0,2.0,1.0,9.0,100.0,50.0,186.55
35,100.0,10.0,0.3,1.0,11.0,100.0,50.0,101.48
36,100.0,10.0,0.0,1.0,11.0,100.0,50.0,86.87
37,100.0,10.0,1.3000000000000003,1.0,11.0,100.0,50.0,143.65
38,100.0,10.0,1.0,1.0,11.0,100.0,50.0,134.1
39,100.0,10.0,0.6,1.0,11.0,100.0,50.0,112.95
40,100.0,10.0,1.5999999999999996,1.0,11.0,100.0,50.0,157.04
41,100.0,10.0,2.0,1.0,11.0,100.0,50.0,177.44
42,100.0,10.0,0.3,1.0,13.0,100.0,50.0,93.06
43,100.0,10.0,0.0,1.0,13.0,100.0,50.0,75.94
44,100.0,10.0,1.3000000000000003,1.0,13.0,100.0,50.0,139.56
45,100.0,10.0,1.0,1.0,13.0,100.0,50.0,123.01
46,100.0,10.0,0.6,1.0,13.0,100.0,50.0,105.12
47,100.0,10.0,1.5999999999999996,1.0,13.0,100.0,50.0,150.9
48,100.0,10.0,2.0,1.0,13.0,100.0,50.0,161.48
49,100.0,10.0,0.3,1.0,15.0,100.0,50.0,83.05
50,100.0,10.0,0.0,1.0,15.0,100.0,50.0,67.13
51,100.0,10.0,1.3000000000000003,1.0,15.0,100.0,50.0,128.91
