,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
0,100.0,1.0,1.0,1.0,7.0,100.0,50.0,166.63
1,100.0,1.0,1.0,1.0,5.0,100.0,50.0,227.2
2,100.0,1.0,1.0,1.0,3.0,100.0,50.0,299.99
3,100.0,1.0,1.0,1.0,1.0,100.0,50.0,577.37
4,100.0,1.0,1.0,1.0,9.0,100.0,50.0,134.77
5,100.0,1.0,1.0,1.0,11.0,100.0,50.0,112.49
6,100.0,1.0,1.0,1.0,13.0,100.0,50.0,101.69
7,100.0,1.0,1.0,1.0,15.0,100.0,50.0,89.42
8,100.0,1.0,1.0,1.0,17.0,100.0,50.0,79.65
9,100.0,1.0,1.0,1.0,19.0,100.0,50.0,71.84
10,100.0,1.0,1.0,1.0,21.0,100.0,50.0,70.1
11,100.0,1.0,1.0,1.0,23.0,100.0,50.0,66.91
12,100.0,1.0,1.0,1.0,25.0,100.0,50.0,56.87
13,100.0,1.0,1.0,1.0,27.0,100.0,50.0,56.02
14,100.0,1.0,1.0,1.0,29.0,100.0,50.0,51.91
15,100.0,1.0,1.0,1.0,31.0,100.0,50.0,48.13
16,100.0,1.0,1.0,1.0,33.0,100.0,50.0,47.33
17,100.0,1.0,1.0,1.0,35.0,100.0,50.0,43.38
18,100.0,1.0,1.0,1.0,37.0,100.0,50.0,44.26
19,100.0,1.0,1.0,1.0,39.0,100.0,50.0,42.68
20,100.0,1.0,1.0,1.0,41.0,100.0,50.0,40.04
21,100.0,1.0,1.0,1.0,43.0,100.0,50.0,38.41
22,100.0,1.0,1.0,1.0,45.0,100.0,50.0,37.54
23,100.0,1.0,1.0,1.0,47.0,100.0,50.0,37.33
24,100.0,1.0,1.0,1.0,49.0,100.0,50.0,34.74
25,100.0,1.0,1.0,1.0,51.0,100.0,50.0,34.84
26,100.0,1.0,1.0,1.0,53.0,100.0,50.0,32.91
27,100.0,1.0,1.0,1.0,55.0,100.0,50.0,32.45
28,100.0,1.0,1.0,1.0,57.0,100.0,50.0,31.19
29,100.0,1.0,1.0,1.0,59.0,100.0,50.0,30.16
30,100.0,1.0,1.0,1.0,61.0,100.0,50.0,30.62
31,100.0,1.0,1.0,1.0,63.0,100.0,50.0,29.56
32,100.0,1.0,1.0,1.0,65.0,100.0,50.0,27.84
33,100.0,1.0,1.0,1.0,67.0,100.0,50.0,29.02
34,100.0,1.0,1.0,1.0,69.0,100.0,50.0,27.16
35,100.0,1.0,1.0,1.0,71.0,100.0,50.0,26.56
36,100.0,1.0,1.0,1.0,73.0,100.0,50.0,25.55
37,100.0,1.0,1.0,1.0,75.0,100.0,50.0,26.08
38,100.0,1.0,1.0,1.0,77.0,100.0,50.0,25.55
39,100.0,1.0,1.0,1.0,79.0,100.0,50.0,24.91
40,100.0,1.0,1.0,1.0,81.0,100.0,50.0,25.47
41,100.0,1.0,1.0,1.0,83.0,100.0,50.0,24.11
42,100.0,1.0,1.0,1.0,85.0,100.0,50.0,23.69
43,100.0,1.0,1.0,1.0,87.0,100.0,50.0,22.57
44,100.0,1.0,1.0,1.0,89.0,100.0,50.0,22.61
45,100.0,1.0,1.0,1.0,91.0,100.0,50.0,22.46
46,100.0,1.0,1.0,1.0,93.0,100.0,50.0,24.0
47,100.0,1.0,1.0,1.0,95.0,100.0,50.0,21.31
48,100.0,1.0,1.0,1.0,97.0,100.0,50.0,21.91
49,100.0,1.0,1.0,1.0,99.0,100.0,50.0,21.4
50,100.0,5.0,1.0,1.0,7.0,100.0,50.0,138.04
51,100.0,5.0,1.0,1.0,5.0,100.0,50.0,170.63
52,100.0,5.0,1.0,1.0,3.0,100.0,50.0,255.77
53,100.0,5.0,1.0,1.0,1.0,100.0,50.0,577.06
54,100.0,5.0,1.0,1.0,9.0,100.0,50.0,114.56
55,100.0,5.0,1.0,1.0,11.0,100.0,50.0,100.65
56,100.0,5.0,1.0,1.0,13.0,100.0,50.0,90.33
57,100.0,5.0,1.0,1.0,15.0,100.0,50.0,80.72
58,100.0,5.0,1.0,1.0,17.0,100.0,50.0,76.33
59,100.0,5.0,1.0,1.0,19.0,100.0,50.0,70.38
60,100.0,5.0,1.0,1.0,21.0,100.0,50.0,67.64
61,100.0,5.0,1.0,1.0,23.0,100.0,50.0,63.2
62,100.0,5.0,1.0,1.0,25.0,100.0,50.0,60.88
63,100.0,5.0,1.0,1.0,27.0,100.0,50.0,57.9
64,100.0,5.0,1.0,1.0,29.0,100.0,50.0,56.78
65,100.0,5.0,1.0,1.0,31.0,100.0,50.0,53.85
66,100.0,5.0,1.0,1.0,33.0,100.0,50.0,53.36
67,100.0,5.0,1.0,1.0,35.0,100.0,50.0,51.55
68,100.0,5.0,1.0,1.0,37.0,100.0,50.0,49.94
69,100.0,5.0,1.0,1.0,39.0,100.0,50.0,47.43
70,100.0,5.0,1.0,1.0,41.0,100.0,50.0,46.75
71,100.0,5.0,1.0,1.0,43.0,100.0,50.0,46.44
72,100.0,5.0,1.0,1.0,45.0,100.0,50.0,45.41
73,100.0,5.0,1.0,1.0,47.0,100.0,50.0,45.05
74,100.0,5.0,1.0,1.0,49.0,100.0,50.0,44.13
