,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
0,100.0,10.0,1.0,1.0,31.0,100.0,20.0,177.07
1,100.0,10.0,1.0,1.0,31.0,100.0,40.0,108.01
2,100.0,10.0,1.0,1.0,31.0,100.0,60.0,82.04
3,100.0,10.0,1.0,1.0,31.0,100.0,80.0,70.86
4,100.0,10.0,1.0,1.0,31.0,100.0,100.0,61.76
5,100.0,10.0,1.0,1.0,13.0,100.0,20.0,214.07
6,100.0,10.0,1.0,1.0,13.0,100.0,40.0,139.24
7,100.0,10.0,1.0,1.0,13.0,100.0,60.0,111.38
8,100.0,10.0,1.0,1.0,13.0,100.0,80.0,100.55
9,100.0,10.0,1.0,1.0,13.0,100.0,100.0,89.06
10,100.0,10.0,1.0,1.0,9.0,100.0,20.0,248.02
11,100.0,10.0,1.0,1.0,9.0,100.0,40.0,161.25
12,100.0,10.0,1.0,1.0,9.0,100.0,60.0,134.31
13,100.0,10.0,1.0,1.0,9.0,100.0,80.0,120.38
14,100.0,10.0,1.0,1.0,9.0,100.0,100.0,110.71
15,100.0,10.0,1.0,1.0,23.0,100.0,20.0,188.75
16,100.0,10.0,1.0,1.0,23.0,100.0,40.0,114.85
17,100.0,10.0,1.0,1.0,23.0,100.0,60.0,88.37
18,100.0,10.0,1.0,1.0,23.0,100.0,80.0,77.93
19,100.0,10.0,1.0,1.0,23.0,100.0,100.0,69.67
20,100.0,10.0,1.0,1.0,21.0,100.0,20.0,184.59
21,100.0,10.0,1.0,1.0,21.0,100.0,40.0,117.77
22,100.0,10.0,1.0,1.0,21.0,100.0,60.0,92.72
23,100.0,10.0,1.0,1.0,21.0,100.0,80.0,80.83
24,100.0,10.0,1.0,1.0,21.0,100.0,100.0,73.12
25,100.0,10.0,1.0,1.0,29.0,100.0,20.0,178.7
26,100.0,10.0,1.0,1.0,29.0,100.0,40.0,106.63
27,100.0,10.0,1.0,1.0,29.0,100.0,60.0,83.41
28,100.0,10.0,1.0,1.0,29.0,100.0,80.0,71.44
29,100.0,10.0,1.0,1.0,29.0,100.0,100.0,63.2
30,100.0,10.0,1.0,1.0,15.0,100.0,20.0,213.16
31,100.0,10.0,1.0,1.0,15.0,100.0,40.0,130.69
32,100.0,10.0,1.0,1.0,15.0,100.0,60.0,104.8
33,100.0,10.0,1.0,1.0,15.0,100.0,80.0,89.51
34,100.0,10.0,1.0,1.0,15.0,100.0,100.0,84.87
35,100.0,10.0,1.0,1.0,11.0,100.0,20.0,231.44
36,100.0,10.0,1.0,1.0,11.0,100.0,40.0,151.68
37,100.0,10.0,1.0,1.0,11.0,100.0,60.0,123.08
38,100.0,10.0,1.0,1.0,11.0,100.0,80.0,104.27
39,100.0,10.0,1.0,1.0,11.0,100.0,100.0,99.19
40,100.0,10.0,1.0,1.0,27.0,100.0,20.0,186.99
41,100.0,10.0,1.0,1.0,27.0,100.0,40.0,109.84
42,100.0,10.0,1.0,1.0,27.0,100.0,60.0,86.41
43,100.0,10.0,1.0,1.0,27.0,100.0,80.0,72.96
44,100.0,10.0,1.0,1.0,27.0,100.0,100.0,65.85
45,100.0,10.0,1.0,1.0,25.0,100.0,20.0,181.94
46,100.0,10.0,1.0,1.0,25.0,100.0,40.0,110.83
47,100.0,10.0,1.0,1.0,25.0,100.0,60.0,89.35
48,100.0,10.0,1.0,1.0,25.0,100.0,80.0,76.91
49,100.0,10.0,1.0,1.0,25.0,100.0,100.0,66.72
50,100.0,10.0,1.0,1.0,17.0,100.0,20.0,204.57
51,100.0,10.0,1.0,1.0,17.0,100.0,40.0,127.7
52,100.0,10.0,1.0,1.0,17.0,100.0,60.0,101.02
53,100.0,10.0,1.0,1.0,17.0,100.0,80.0,86.09
54,100.0,10.0,1.0,1.0,17.0,100.0,100.0,80.45
55,100.0,10.0,1.0,1.0,3.0,100.0,20.0,438.07
56,100.0,10.0,1.0,1.0,3.0,100.0,40.0,302.51
57,100.0,10.0,1.0,1.0,3.0,100.0,60.0,251.52
58,100.0,10.0,1.0,1.0,3.0,100.0,80.0,239.26
59,100.0,10.0,1.0,1.0,3.0,100.0,100.0,227.87
60,100.0,10.0,1.0,1.0,35.0,100.0,20.0,173.25
61,100.0,10.0,1.0,1.0,35.0,100.0,40.0,104.12
62,100.0,10.0,1.0,1.0,35.0,100.0,60.0,80.87
63,100.0,10.0,1.0,1.0,35.0,100.0,80.0,66.5
64,100.0,10.0,1.0,1.0,35.0,100.0,100.0,59.22
65,100.0,10.0,1.0,1.0,19.0,100.0,20.0,198.02
66,100.0,10.0,1.0,1.0,19.0,100.0,40.0,123.17
67,100.0,10.0,1.0,1.0,19.0,100.0,60.0,94.54
68,100.0,10.0,1.0,1.0,19.0,100.0,80.0,80.77
69,100.0,10.0,1.0,1.0,19.0,100.0,100.0,74.43
70,100.0,10.0,1.0,1.0,33.0,100.0,20.0,173.61
71,100.0,10.0,1.0,1.0,33.0,100.0,40.0,106.92
72,100.0,10.0,1.0,1.0,33.0,100.0,60.0,80.61
73,100.0,10.0,1.0,1.0,33.0,100.0,80.0,68.72
74,100.0,10.0,1.0,1.0,33.0,100.0,100.0,61.1
75,100.0,10.0,1.0,1.0,5.0,100.0,20.0,327.65
76,100.0,10.0,1.0,1.0,5.0,100.0,40.0,224.95
77,100.0,10.0,1.0,1.0,5.0,100.0,60.0,189.28
78,100.0,10.0,1.0,1.0,5.0,100.0,80.0,168.23
79,100.0,10.0,1.0,1.0,5.0,100.0,100.0,155.75
80,100.0,10.0,1.0,1.0,7.0,100.0,20.0,265.93
81,100.0,10.0,1.0,1.0,7.0,100.0,40.0,183.63
82,100.0,10.0,1.0,1.0,7.0,100.0,60.0,152.9
83,100.0,10.0,1.0,1.0,7.0,100.0,80.0,135.25
84,100.0,10.0,1.0,1.0,7.0,100.0,100.0,125.7
85,100.0,10.0,1.0,1.0,37.0,100.0,20.0,170.45
86,100.0,10.0,1.0,1.0,37.0,100.0,40.0,103.44
87,100.0,10.0,1.0,1.0,37.0,100.0,60.0,78.24
88,100.0,10.0,1.0,1.0,37.0,100.0,80.0,65.82
89,100.0,10.0,1.0,1.0,37.0,100.0,100.0,57.85
90,100.0,10.0,1.0,1.0,39.0,100.0,20.0,170.33
91,100.0,10.0,1.0,1.0,39.0,100.0,40.0,102.75
92,100.0,10.0,1.0,1.0,39.0,100.0,60.0,77.84
93,100.0,10.0,1.0,1.0,39.0,100.0,80.0,65.18
94,100.0,10.0,1.0,1.0,39.0,100.0,100.0,55.06
95,100.0,10.0,1.0,1.0,43.0,100.0,20.0,165.78
96,100.0,10.0,1.0,1.0,43.0,100.0,40.0,102.51
97,100.0,10.0,1.0,1.0,43.0,100.0,60.0,75.55
98,100.0,10.0,1.0,1.0,43.0,100.0,80.0,64.58
99,100.0,10.0,1.0,1.0,43.0,100.0,100.0,56.42
100,100.0,10.0,1.0,1.0,41.0,100.0,20.0,169.09
101,100.0,10.0,1.0,1.0,41.0,100.0,40.0,101.9
102,100.0,10.0,1.0,1.0,41.0,100.0,60.0,76.85
103,100.0,10.0,1.0,1.0,41.0,100.0,80.0,63.2
104,100.0,10.0,1.0,1.0,41.0,100.0,100.0,57.3
105,100.0,10.0,1.0,1.0,45.0,100.0,20.0,166.43
106,100.0,10.0,1.0,1.0,45.0,100.0,40.0,99.24
107,100.0,10.0,1.0,1.0,45.0,100.0,60.0,76.84
108,100.0,10.0,1.0,1.0,45.0,100.0,80.0,65.59
109,100.0,10.0,1.0,1.0,45.0,100.0,100.0,54.73
110,100.0,10.0,1.0,1.0,47.0,100.0,20.0,165.31
111,100.0,10.0,1.0,1.0,47.0,100.0,40.0,100.45
112,100.0,10.0,1.0,1.0,47.0,100.0,60.0,76.53
113,100.0,10.0,1.0,1.0,47.0,100.0,80.0,62.36
114,100.0,10.0,1.0,1.0,47.0,100.0,100.0,55.34
115,100.0,10.0,1.0,1.0,57.0,100.0,20.0,164.11
116,100.0,10.0,1.0,1.0,57.0,100.0,40.0,99.31
117,100.0,10.0,1.0,1.0,57.0,100.0,60.0,72.84
118,100.0,10.0,1.0,1.0,57.0,100.0,80.0,62.14
119,100.0,10.0,1.0,1.0,57.0,100.0,100.0,52.36
120,100.0,10.0,1.0,1.0,55.0,100.0,20.0,164.5
121,100.0,10.0,1.0,1.0,55.0,100.0,40.0,99.08
122,100.0,10.0,1.0,1.0,55.0,100.0,60.0,73.46
123,100.0,10.0,1.0,1.0,55.0,100.0,80.0,61.33
124,100.0,10.0,1.0,1.0,55.0,100.0,100.0,53.16
125,100.0,10.0,1.0,1.0,49.0,100.0,20.0,165.88
126,100.0,10.0,1.0,1.0,49.0,100.0,40.0,99.25
127,100.0,10.0,1.0,1.0,49.0,100.0,60.0,75.42
128,100.0,10.0,1.0,1.0,49.0,100.0,80.0,62.58
129,100.0,10.0,1.0,1.0,49.0,100.0,100.0,54.65
130,100.0,10.0,1.0,1.0,51.0,100.0,20.0,162.65
131,100.0,10.0,1.0,1.0,51.0,100.0,40.0,95.95
132,100.0,10.0,1.0,1.0,51.0,100.0,60.0,73.94
133,100.0,10.0,1.0,1.0,51.0,100.0,80.0,62.35
134,100.0,10.0,1.0,1.0,51.0,100.0,100.0,52.46
135,100.0,10.0,1.0,1.0,61.0,100.0,20.0,167.34
136,100.0,10.0,1.0,1.0,61.0,100.0,40.0,95.6
137,100.0,10.0,1.0,1.0,61.0,100.0,60.0,72.26
138,100.0,10.0,1.0,1.0,61.0,100.0,80.0,58.0
139,100.0,10.0,1.0,1.0,61.0,100.0,100.0,52.05
140,100.0,10.0,1.0,1.0,69.0,100.0,20.0,160.96
141,100.0,10.0,1.0,1.0,69.0,100.0,40.0,94.33
142,100.0,10.0,1.0,1.0,69.0,100.0,60.0,70.86
143,100.0,10.0,1.0,1.0,69.0,100.0,80.0,59.93
144,100.0,10.0,1.0,1.0,69.0,100.0,100.0,51.27
145,100.0,10.0,1.0,1.0,59.0,100.0,20.0,166.21
146,100.0,10.0,1.0,1.0,59.0,100.0,40.0,96.82
147,100.0,10.0,1.0,1.0,59.0,100.0,60.0,71.85
148,100.0,10.0,1.0,1.0,59.0,100.0,80.0,60.71
149,100.0,10.0,1.0,1.0,59.0,100.0,100.0,52.33
150,100.0,10.0,1.0,1.0,67.0,100.0,20.0,161.18
151,100.0,10.0,1.0,1.0,67.0,100.0,40.0,94.88
152,100.0,10.0,1.0,1.0,67.0,100.0,60.0,72.17
153,100.0,10.0,1.0,1.0,67.0,100.0,80.0,59.77
154,100.0,10.0,1.0,1.0,67.0,100.0,100.0,51.78
155,100.0,10.0,1.0,1.0,53.0,100.0,20.0,163.85
156,100.0,10.0,1.0,1.0,53.0,100.0,40.0,98.17
157,100.0,10.0,1.0,1.0,53.0,100.0,60.0,74.4
158,100.0,10.0,1.0,1.0,53.0,100.0,80.0,59.85
159,100.0,10.0,1.0,1.0,53.0,100.0,100.0,54.06
160,100.0,10.0,1.0,1.0,75.0,100.0,20.0,158.21
161,100.0,10.0,1.0,1.0,75.0,100.0,40.0,93.92
162,100.0,10.0,1.0,1.0,75.0,100.0,60.0,71.15
163,100.0,10.0,1.0,1.0,75.0,100.0,80.0,57.64
164,100.0,10.0,1.0,1.0,75.0,100.0,100.0,51.1
165,100.0,10.0,1.0,1.0,73.0,100.0,20.0,161.01
166,100.0,10.0,1.0,1.0,73.0,100.0,40.0,93.0
167,100.0,10.0,1.0,1.0,73.0,100.0,60.0,70.44
168,100.0,10.0,1.0,1.0,73.0,100.0,80.0,58.25
169,100.0,10.0,1.0,1.0,73.0,100.0,100.0,50.53
170,100.0,10.0,1.0,1.0,71.0,100.0,20.0,160.63
171,100.0,10.0,1.0,1.0,71.0,100.0,40.0,95.13
172,100.0,10.0,1.0,1.0,71.0,100.0,60.0,72.58
173,100.0,10.0,1.0,1.0,71.0,100.0,80.0,58.96
174,100.0,10.0,1.0,1.0,71.0,100.0,100.0,50.56
175,100.0,10.0,1.0,1.0,77.0,100.0,20.0,161.85
176,100.0,10.0,1.0,1.0,77.0,100.0,40.0,92.49
177,100.0,10.0,1.0,1.0,77.0,100.0,60.0,69.37
178,100.0,10.0,1.0,1.0,77.0,100.0,80.0,57.91
179,100.0,10.0,1.0,1.0,77.0,100.0,100.0,51.09
180,100.0,10.0,1.0,1.0,63.0,100.0,20.0,161.66
181,100.0,10.0,1.0,1.0,63.0,100.0,40.0,98.18
182,100.0,10.0,1.0,1.0,63.0,100.0,60.0,72.36
183,100.0,10.0,1.0,1.0,63.0,100.0,80.0,59.85
184,100.0,10.0,1.0,1.0,63.0,100.0,100.0,51.46
185,100.0,10.0,1.0,1.0,65.0,100.0,20.0,163.94
186,100.0,10.0,1.0,1.0,65.0,100.0,40.0,97.11
187,100.0,10.0,1.0,1.0,65.0,100.0,60.0,71.37
188,100.0,10.0,1.0,1.0,65.0,100.0,80.0,61.29
189,100.0,10.0,1.0,1.0,65.0,100.0,100.0,50.82
190,100.0,10.0,1.0,1.0,79.0,100.0,20.0,162.56
191,100.0,10.0,1.0,1.0,79.0,100.0,40.0,95.12
192,100.0,10.0,1.0,1.0,79.0,100.0,60.0,70.96
193,100.0,10.0,1.0,1.0,79.0,100.0,80.0,57.03
194,100.0,10.0,1.0,1.0,79.0,100.0,100.0,49.27
195,100.0,10.0,1.0,1.0,81.0,100.0,20.0,162.17
196,100.0,10.0,1.0,1.0,81.0,100.0,40.0,93.31
197,100.0,10.0,1.0,1.0,81.0,100.0,60.0,69.7
198,100.0,10.0,1.0,1.0,81.0,100.0,80.0,57.83
199,100.0,10.0,1.0,1.0,81.0,100.0,100.0,50.49
200,100.0,10.0,1.0,1.0,87.0,100.0,20.0,164.24
201,100.0,10.0,1.0,1.0,87.0,100.0,40.0,94.71
202,100.0,10.0,1.0,1.0,87.0,100.0,60.0,69.45
203,100.0,10.0,1.0,1.0,87.0,100.0,80.0,58.24
204,100.0,10.0,1.0,1.0,87.0,100.0,100.0,49.03
205,100.0,10.0,1.0,1.0,89.0,100.0,20.0,158.62
206,100.0,10.0,1.0,1.0,89.0,100.0,40.0,94.28
207,100.0,10.0,1.0,1.0,89.0,100.0,60.0,70.22
208,100.0,10.0,1.0,1.0,89.0,100.0,80.0,58.16
209,100.0,10.0,1.0,1.0,89.0,100.0,100.0,49.01
210,100.0,10.0,1.0,1.0,93.0,100.0,20.0,157.46
211,100.0,10.0,1.0,1.0,93.0,100.0,40.0,91.99
212,100.0,10.0,1.0,1.0,93.0,100.0,60.0,70.26
213,100.0,10.0,1.0,1.0,93.0,100.0,80.0,57.52
214,100.0,10.0,1.0,1.0,93.0,100.0,100.0,49.15
215,100.0,10.0,1.0,1.0,85.0,100.0,20.0,156.68
216,100.0,10.0,1.0,1.0,85.0,100.0,40.0,94.6
217,100.0,10.0,1.0,1.0,85.0,100.0,60.0,68.91
218,100.0,10.0,1.0,1.0,85.0,100.0,80.0,57.4
219,100.0,10.0,1.0,1.0,85.0,100.0,100.0,50.53
220,100.0,10.0,1.0,1.0,83.0,100.0,20.0,159.05
221,100.0,10.0,1.0,1.0,83.0,100.0,40.0,92.22
222,100.0,10.0,1.0,1.0,83.0,100.0,60.0,70.41
223,100.0,10.0,1.0,1.0,83.0,100.0,80.0,57.45
224,100.0,10.0,1.0,1.0,83.0,100.0,100.0,48.71
225,100.0,10.0,1.0,1.0,99.0,100.0,20.0,158.07
226,100.0,10.0,1.0,1.0,99.0,100.0,40.0,94.23
227,100.0,10.0,1.0,1.0,99.0,100.0,60.0,68.61
228,100.0,10.0,1.0,1.0,99.0,100.0,80.0,56.86
229,100.0,10.0,1.0,1.0,99.0,100.0,100.0,48.95
230,100.0,10.0,1.0,1.0,97.0,100.0,20.0,157.39
231,100.0,10.0,1.0,1.0,97.0,100.0,40.0,92.09
232,100.0,10.0,1.0,1.0,97.0,100.0,60.0,68.41
233,100.0,10.0,1.0,1.0,97.0,100.0,80.0,56.36
234,100.0,10.0,1.0,1.0,97.0,100.0,100.0,48.88
235,100.0,10.0,1.0,1.0,91.0,100.0,20.0,158.8
236,100.0,10.0,1.0,1.0,91.0,100.0,40.0,92.37
237,100.0,10.0,1.0,1.0,91.0,100.0,60.0,69.38
238,100.0,10.0,1.0,1.0,91.0,100.0,80.0,56.25
239,100.0,10.0,1.0,1.0,91.0,100.0,100.0,48.58
240,100.0,10.0,1.0,1.0,95.0,100.0,20.0,159.29
241,100.0,10.0,1.0,1.0,95.0,100.0,40.0,94.08
242,100.0,10.0,1.0,1.0,95.0,100.0,60.0,69.22
243,100.0,10.0,1.0,1.0,95.0,100.0,80.0,56.45
244,100.0,10.0,1.0,1.0,95.0,100.0,100.0,48.09
245,100.0,10.0,1.0,1.0,1.0,100.0,20.0,878.27
246,100.0,10.0,1.0,1.0,1.0,100.0,40.0,629.18
247,100.0,10.0,1.0,1.0,1.0,100.0,60.0,545.65
248,100.0,10.0,1.0,1.0,1.0,100.0,80.0,502.79
249,100.0,10.0,1.0,1.0,1.0,100.0,100.0,475.45
