[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
2,100,10,0,50,100,100,1,25
16,100,10,0,50,100,100,1,30
14,100,10,0,50,100,100,1,31
3,100,10,0,50,100,100,1,27
7,100,10,0,50,100,100,1,28
9,100,10,0,50,100,100,1,24
12,100,10,0,50,100,100,1,29
1,100,10,0,50,100,100,1,22
13,100,10,0,50,100,100,1,19
8,100,10,0,50,100,100,1,21
4,100,10,0,50,100,100,1,38
10,100,10,0,50,100,100,1,31
5,100,10,0,50,100,100,1,25
17,100,10,0,50,100,100,1,26
15,100,10,0,50,100,100,1,31
6,100,10,0,50,100,100,1,26
19,100,10,0,50,100,100,1,22
11,100,10,0,50,100,100,1,39
24,100,10,0,50,100,100,1,26
18,100,10,0,50,100,100,1,27
22,100,10,0,50,100,100,1,27
20,100,10,0,50,100,100,1,23
21,100,10,0,50,100,100,1,27
23,100,10,0,50,100,100,1,30
30,100,10,0,50,100,100,1,23
27,100,10,0,50,100,100,1,27
33,100,10,0,50,100,100,1,31
26,100,10,0,50,100,100,1,23
35,100,10,0,50,100,100,1,23
36,100,10,0,50,100,100,1,29
39,100,10,0,50,100,100,1,23
25,100,10,0,50,100,100,1,24
28,100,10,0,50,100,100,1,29
34,100,10,0,50,100,100,1,22
38,100,10,0,50,100,100,1,27
42,100,10,0,50,100,100,1,22
40,100,10,0,50,100,100,1,31
29,100,10,0,50,100,100,1,30
37,100,10,0,50,100,100,1,41
31,100,10,0,50,100,100,1,31
41,100,10,0,50,100,100,1,31
32,100,10,0,50,100,100,1,31
43,100,10,0,50,100,100,1,27
46,100,10,0,50,100,100,1,26
45,100,10,0,50,100,100,1,38
47,100,10,0,50,100,100,1,31
44,100,10,0,50,100,100,1,26
52,100,10,0,50,100,100,1,27
53,100,10,0,50,100,100,1,29
55,100,10,0,50,100,100,1,26
51,100,10,0,50,100,100,1,38
50,100,10,0,50,100,100,1,23
48,100,10,0,50,100,100,1,23
54,100,10,0,50,100,100,1,24
59,100,10,0,50,100,100,1,20
57,100,10,0,50,100,100,1,26
49,100,10,0,50,100,100,1,33
56,100,10,0,50,100,100,1,27
60,100,10,0,50,100,100,1,24
61,100,10,0,50,100,100,1,19
64,100,10,0,50,100,100,1,31
58,100,10,0,50,100,100,1,30
62,100,10,0,50,100,100,1,35
65,100,10,0,50,100,100,1,24
71,100,10,0,50,100,100,1,20
76,100,10,0,50,100,100,1,20
66,100,10,0,50,100,100,1,37
