[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
1,100,10,0.5,1,100,100,0.5,510
5,100,10,0.5,1,100,100,0.5,478
6,100,10,0.5,1,100,100,0.5,477
3,100,10,0.5,1,100,100,0.5,461
12,100,10,0.5,1,100,100,0.5,497
9,100,10,0.5,1,100,100,0.5,466
13,100,10,0.5,1,100,100,0.5,478
16,100,10,0.5,1,100,100,0.5,495
4,100,10,0.5,1,100,100,0.5,495
8,100,10,0.5,1,100,100,0.5,488
7,100,10,0.5,1,100,100,0.5,467
10,100,10,0.5,1,100,100,0.5,444
2,100,10,0.5,1,100,100,0.5,468
11,100,10,0.5,1,100,100,0.5,461
14,100,10,0.5,1,100,100,0.5,474
17,100,10,0.5,1,100,100,0.5,459
15,100,10,0.5,1,100,100,0.5,461
18,100,10,0.5,1,100,100,0.5,498
20,100,10,0.5,1,100,100,0.5,483
22,100,10,0.5,1,100,100,0.5,476
19,100,10,0.5,1,100,100,0.5,493
23,100,10,0.5,1,100,100,0.5,507
21,100,10,0.5,1,100,100,0.5,479
24,100,10,0.5,1,100,100,0.5,496
32,100,10,0.5,1,100,100,0.5,501
26,100,10,0.5,1,100,100,0.5,439
25,100,10,0.5,1,100,100,0.5,468
29,100,10,0.5,1,100,100,0.5,490
27,100,10,0.5,1,100,100,0.5,475
28,100,10,0.5,1,100,100,0.5,475
37,100,10,0.5,1,100,100,0.5,462
30,100,10,0.5,1,100,100,0.5,474
31,100,10,0.5,1,100,100,0.5,488
34,100,10,0.5,1,100,100,0.5,476
35,100,10,0.5,1,100,100,0.5,488
36,100,10,0.5,1,100,100,0.5,506
38,100,10,0.5,1,100,100,0.5,495
33,100,10,0.5,1,100,100,0.5,473
39,100,10,0.5,1,100,100,0.5,489
40,100,10,0.5,1,100,100,0.5,475
41,100,10,0.5,1,100,100,0.5,451
47,100,10,0.5,1,100,100,0.5,490
51,100,10,0.5,1,100,100,0.5,469
50,100,10,0.5,1,100,100,0.5,468
53,100,10,0.5,1,100,100,0.5,500
48,100,10,0.5,1,100,100,0.5,477
43,100,10,0.5,1,100,100,0.5,485
52,100,10,0.5,1,100,100,0.5,497
45,100,10,0.5,1,100,100,0.5,505
44,100,10,0.5,1,100,100,0.5,464
55,100,10,0.5,1,100,100,0.5,480
42,100,10,0.5,1,100,100,0.5,493
49,100,10,0.5,1,100,100,0.5,491
46,100,10,0.5,1,100,100,0.5,473
56,100,10,0.5,1,100,100,0.5,487
54,100,10,0.5,1,100,100,0.5,478
57,100,10,0.5,1,100,100,0.5,501
59,100,10,0.5,1,100,100,0.5,487
58,100,10,0.5,1,100,100,0.5,468
60,100,10,0.5,1,100,100,0.5,485
61,100,10,0.5,1,100,100,0.5,472
64,100,10,0.5,1,100,100,0.5,475
67,100,10,0.5,1,100,100,0.5,469
65,100,10,0.5,1,100,100,0.5,467
63,100,10,0.5,1,100,100,0.5,449
66,100,10,0.5,1,100,100,0.5,464
68,100,10,0.5,1,100,100,0.5,463
62,100,10,0.5,1,100,100,0.5,486
71,100,10,0.5,1,100,100,0.5,448
73,100,10,0.5,1,100,100,0.5,467
70,100,10,0.5,1,100,100,0.5,495
